				Moment Estimator					SMLE				
$\tau$	$r$	$p$	Covariate	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE
0.5	0.3	0.6	$X_a$	4.88225484182037e-05	0.0425176273750972	0.0422382257451057	0.9514		-0.00183123495190468	0.0378001027866654	0.0379705120631168	0.9483	1.26517931070024
0.5	0.3	0.6	$X_b$	0.000895750554872343	0.0706475726875179	0.071327236316485	0.9504		0.00124696894802079	0.0723507491244211	0.0725932157215605	0.9525	0.953473057235113
0.5	0.3	1	$X_a$	0.000582849787073292	0.0455779642113637	0.0453658549820912	0.9505		-0.00168737807307173	0.0397702381298834	0.0390511648051637	0.9443	1.31338926819376
0.5	0.3	1	$X_b$	0.000665709034323281	0.0739842208832544	0.0739118453028417	0.9497		0.000880651030510382	0.0753593358738931	0.0746478310487067	0.9466	0.963838088263011
0.5	0.5	0.6	$X_a$	-0.000131751573645866	0.0419786626268927	0.0417421715997878	0.952		-0.000162801446358329	0.0374675065649128	0.037605966284825	0.9486	1.25530024308585
0.5	0.5	0.6	$X_b$	0.000926378830736874	0.0699353660182878	0.0706514108688727	0.951		0.0012660623736731	0.0717524323394168	0.0719547901308894	0.952	0.94999309511696
0.5	0.5	1	$X_a$	0.000301611839138294	0.0448225466025714	0.0445932834053896	0.9508		0.000509614785946855	0.0393717514078552	0.038724858469456	0.9452	1.29605546070983
0.5	0.5	1	$X_b$	0.000672383080287609	0.0729255005817463	0.0728178112817741	0.949		0.000820756479111728	0.0745241261349372	0.0738566933609205	0.9471	0.957557921563879
1	0.3	0.6	$X_a$	0.000282275118291209	0.0494576626160707	0.0490136381545807	0.9515		-0.00217814455637039	0.0393349044286698	0.0394315252587143	0.9482	1.58092394211897
1	0.3	0.6	$X_b$	0.000840440500897932	0.0745787714956983	0.0751339255689446	0.9502		0.00138068196216257	0.0749075462736981	0.0750968456033053	0.9529	0.991241115591882
1	0.3	1	$X_a$	0.00087855555626265	0.0559508448459135	0.0556562672386807	0.9517		-0.00209409060201499	0.0413387458930555	0.0404579420769624	0.9444	1.83188709418624
1	0.3	1	$X_b$	0.000499211813070555	0.0799316517177205	0.0799806058953712	0.9506		0.000899461467949059	0.0787191275883587	0.0777869408949061	0.9467	1.03104359828756
1	0.5	0.6	$X_a$	-0.000194931694329825	0.0481343385362385	0.0477657347911247	0.9527		0.000193366599631706	0.0389898699409878	0.03911253394592	0.9495	1.52407536479125
1	0.5	0.6	$X_b$	0.000885118919654815	0.0732278089185565	0.0738416361715548	0.9496		0.00135216799210736	0.0742452485760413	0.0743253661678304	0.9511	0.972780257366425
1	0.5	1	$X_a$	0.000149901566657118	0.0541137785591363	0.0538064354310396	0.9504		0.000753933191688538	0.0409526303131969	0.0401744248202993	0.9461	1.74603167631696
1	0.5	1	$X_b$	0.000505982121314474	0.077914597964493	0.077939297792766	0.9501		0.000990874888885052	0.0777958985886408	0.0768858705060913	0.9473	1.0030538867096
