				SY				CC				SMLE			
$\tau$	$r$	$p$	Covariate	Bias	SE	RE		Bias	SE	RE		Bias	SE	SEE	CP
0.5	0.3	0.6	$X_a$	4.88225484182037e-05	0.0425176273750972	0.790401796443014		-8.90677830310826e-05	0.0404610997145915	0.872791677744658		-0.00183123495190468	0.0378001027866654	0.0379705120631168	0.9483
0.5	0.3	0.6	$X_b$	0.000895750554872343	0.0706475726875179	1.0487973335081		-0.00116784030895739	0.0724150945841548	0.998223661169886		0.00124696894802079	0.0723507491244211	0.0725932157215605	0.9525
0.5	0.3	1	$X_a$	0.000582849787073292	0.0455779642113637	0.761388892247651		0.000217639313356832	0.0415947859775533	0.91419448023489		-0.00168737807307173	0.0397702381298834	0.0390511648051637	0.9443
0.5	0.3	1	$X_b$	0.000665709034323281	0.0739842208832544	1.03751865814118		-0.00110137632044277	0.07519590802342	1.00435144540782		0.000880651030510382	0.0753593358738931	0.0746478310487067	0.9466
0.5	0.5	0.6	$X_a$	-0.000131751573645866	0.0419786626268927	0.796622167093462		-5.01423538782353e-05	0.0403100397452155	0.863939103494393		-0.000162801446358329	0.0374675065649128	0.037605966284825	0.9486
0.5	0.5	0.6	$X_b$	0.000926378830736874	0.0699353660182878	1.05263922984291		-0.00112826389871928	0.0718097893918562	0.998403166299241		0.0012660623736731	0.0717524323394168	0.0719547901308894	0.952
0.5	0.5	1	$X_a$	0.000301611839138294	0.0448225466025714	0.771571919809907		0.000185602630997872	0.0412948023489299	0.909030981584876		0.000509614785946855	0.0393717514078552	0.038724858469456	0.9452
0.5	0.5	1	$X_b$	0.000672383080287609	0.0729255005817463	1.04432324925766		-0.001098318335788	0.0743415763425036	1.00491713875083		0.000820756479111728	0.0745241261349372	0.0738566933609205	0.9471
1	0.3	0.6	$X_a$	0.000282275118291209	0.0494576626160707	0.632541498903269		-0.000159167522057746	0.0428052363728037	0.844427560555303		-0.00217814455637039	0.0393349044286698	0.0394315252587143	0.9482
1	0.3	0.6	$X_b$	0.000840440500897932	0.0745787714956983	1.00883628036645		-0.00117552366279672	0.0752276996636864	0.99150652915322		0.00138068196216257	0.0749075462736981	0.0750968456033053	0.9529
1	0.3	1	$X_a$	0.00087855555626265	0.0559508448459135	0.545885171184211		6.33684098516607e-05	0.0443211977793681	0.869944640659067		-0.00209409060201499	0.0413387458930555	0.0404579420769624	0.9444
1	0.3	1	$X_b$	0.000499211813070555	0.0799316517177205	0.969891090600707		-0.00123025286859085	0.0786258736628467	1.00237349927959		0.000899461467949059	0.0787191275883587	0.0777869408949061	0.9467
1	0.5	0.6	$X_a$	-0.000194931694329825	0.0481343385362385	0.65613553181274		1.83073727805239e-05	0.0425508359687381	0.839628901611231		0.000193366599631706	0.0389898699409878	0.03911253394592	0.9495
1	0.5	0.6	$X_b$	0.000885118919654815	0.0732278089185565	1.02798138883623		-0.00112503550804544	0.0744209881983216	0.995282725249596		0.00135216799210736	0.0742452485760413	0.0743253661678304	0.9511
1	0.5	1	$X_a$	0.000149901566657118	0.0541137785591363	0.572727295594876		0.000109596228298481	0.0439393408225517	0.868673408328232		0.000753933191688538	0.0409526303131969	0.0401744248202993	0.9461
1	0.5	1	$X_b$	0.000505982121314474	0.077914597964493	0.996955411119916		-0.00122893365593235	0.0776277948524045	1.00433570866427		0.000990874888885052	0.0777958985886408	0.0768858705060913	0.9473
