				Moment Estimator					SMLE				
$\tau$	$r$	$p$	Covariate	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE
0.5	0.3	0.6	$X_a$	-0.000165562410604447	0.0424902235287375	0.0422404570036731	0.9516		-0.0018931290820775	0.0384327206315611	0.0379430692833232	0.9458	1.2222942635319
0.5	0.3	0.6	$X_b$	0.000892852702668701	0.0706390135285675	0.0713264811724452	0.9505		0.000953958190039628	0.0712283658682055	0.0725267673709047	0.9543	0.983520212901657
0.5	0.3	1	$X_a$	0.00010312701676618	0.0455337528426482	0.0453606206909376	0.9518		-0.00169772429859955	0.038901984901244	0.0390027961508044	0.9506	1.37000884113142
0.5	0.3	1	$X_b$	0.000628534721175633	0.0739459731193105	0.0739124426506858	0.9502		0.000245753405726856	0.0759148926167356	0.0745910478603627	0.9476	0.948800911095335
0.5	0.5	0.6	$X_a$	-0.000334968497699262	0.0420151077609421	0.0417507390222277	0.9518		-0.000208804314695943	0.0381392047360999	0.037646839614637	0.9457	1.21357800708248
0.5	0.5	0.6	$X_b$	0.000921794951497024	0.0699213806932045	0.0706510641342228	0.951		0.000986662973648911	0.0706118524295808	0.0720303217784666	0.9548	0.980538794708902
0.5	0.5	1	$X_a$	-0.000174897556567633	0.04477653263093	0.0445914782643318	0.9506		0.00042694128926718	0.0385835603617672	0.0387051006582982	0.9507	1.34677894815741
0.5	0.5	1	$X_b$	0.000638848349228893	0.0728901713671473	0.0728195744131406	0.9492		0.000283396423970239	0.0750604730212485	0.0738251250026169	0.9482	0.943007938222603
1	0.3	0.6	$X_a$	-0.000222631344165669	0.0494380233844175	0.0490077011704755	0.9493		-0.00223009439102989	0.0401652314311269	0.0394135254724885	0.9448	1.51503145524693
1	0.3	0.6	$X_b$	0.000848813009576954	0.07456021658738	0.0751322096219096	0.95		0.00114288619462388	0.0737843066188493	0.0750333119277691	0.9531	1.02114242739121
1	0.3	1	$X_a$	0.000130996165182529	0.0559234506307057	0.0556296221326148	0.9521		-0.00208973915775645	0.0405101340564907	0.0405368192746191	0.9492	1.90572644586646
1	0.3	1	$X_b$	0.000423605415162176	0.0798618776480632	0.0799817315786561	0.9513		0.000197816572771514	0.0792483400251565	0.077797389334043	0.9475	1.01554386161622
1	0.5	0.6	$X_a$	-0.000679108833381015	0.0482129709986926	0.0477784878332512	0.9499		0.000132543861004586	0.0398117592804949	0.039157795156243	0.9451	1.46657760932954
1	0.5	0.6	$X_b$	0.000889730109371101	0.0731965144838583	0.0738415776085959	0.9496		0.00112527509029769	0.0730810712107527	0.0743128928923217	0.9536	1.0031618160975
1	0.5	1	$X_a$	-0.000591590782110851	0.0541279831905054	0.0537934709135296	0.9504		0.000769303186482384	0.0401763859790589	0.0402056076267706	0.9488	1.81510584682674
1	0.5	1	$X_b$	0.000439338276527312	0.0778517368148587	0.0779441299672675	0.9506		0.00020614384024098	0.0783612761859411	0.0768748243531504	0.9476	0.987037404911791
