				SY						CC						SMLE			
$\tau$	$r$	$p$	Covariate	Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP
0.5	0.3	0.6	$X_a$	0.000202909687882391	0.0442767995925774	0.0433342666530891	0.9447	0.794667468995103		-0.000221410186741156	0.0408815277880736	0.0400184167132905	0.9448	0.932145362644475		-0.00164625180107325	0.0394701647501445	0.0389581199871526	0.9465
0.5	0.3	0.6	$X_b$	-0.000166074490874524	0.0826911251985684	0.0823680014331859	0.9464	0.943058842413435		4.65436127835561e-05	0.0801077948040712	0.0725301717127363	0.9228	1.00486342978941		9.80482033744456e-05	0.0803023578478796	0.0794561373969471	0.947
0.5	0.3	1	$X_a$	-0.000465621827100138	0.0445862838007231	0.0445336357301077	0.9469	0.784997952929809		0.000949203801847986	0.0420182136818295	0.0413806152399012	0.9449	0.883885288922467		-0.0023773453946534	0.0395034965861701	0.0392207456682484	0.9456
0.5	0.3	1	$X_b$	0.000757998748244115	0.0867846772543091	0.0867857331896574	0.9501	0.856322774139454		-6.74397216671174e-06	0.0802715216418328	0.0744889557252581	0.9293	1.00092286074569		-4.72473178451671e-05	0.0803085528183081	0.0800684100879533	0.9495
0.5	0.5	0.6	$X_a$	0.000118933154447609	0.0441042492862303	0.0431839662444119	0.9447	0.799377830934923		-0.00915150585799368	0.0407501146412625	0.0398121017124088	0.9357	0.936386833587595		-0.00130550756872511	0.0394326972228627	0.0388952220797533	0.9457
0.5	0.5	0.6	$X_b$	-0.00016773052567598	0.0815356386276615	0.0812033300690708	0.9471	0.966123584832555		4.22538131770178e-05	0.0799330855828245	0.0719232047348377	0.9209	1.00525092767649		0.000136972311495343	0.0801426722376382	0.0792736000838039	0.9478
0.5	0.5	1	$X_a$	-0.000616956332439467	0.0443722364537453	0.0442908670520607	0.9469	0.791117264081907		-0.0117672998583923	0.0418474399057948	0.0411176365453784	0.9341	0.889458542394404		-0.00199511512699818	0.0394667849808189	0.0391277529479657	0.9458
0.5	0.5	1	$X_b$	0.00072940623390727	0.0848714083329372	0.0849354145081344	0.95	0.890131273570815		-1.819721545121e-05	0.0800595218865473	0.0737217564324902	0.9274	1.00034750410371		-0.000111769907250758	0.0800734311844659	0.0798178773886232	0.9501
1	0.3	0.6	$X_a$	0.000279644813788282	0.0462828203061846	0.0452953635129477	0.9429	0.738759167481228		0.00218425467496369	0.043147620001478	0.0423105069419196	0.9454	0.850019372105344		-0.0017948905074488	0.0397805933892792	0.0392180625608686	0.9458
1	0.3	0.6	$X_b$	-0.000360042873597533	0.0889699645043523	0.088806758600104	0.948	0.83375145580863		3.62901313452069e-05	0.0810158752104417	0.0753112283996417	0.9298	1.00550256730589		7.7390214488382e-05	0.0812384670769312	0.0802462623413463	0.9483
1	0.3	1	$X_a$	-0.000247046190376188	0.047736531572686	0.0477036956659773	0.9491	0.696576729716097		0.00324217551727901	0.0446208206091237	0.0439875365539985	0.945	0.797251927628345		-0.00243121335176916	0.0398414689101665	0.039440612384805	0.9448
1	0.3	1	$X_b$	0.000995329782636722	0.0969810899690985	0.0968326093067528	0.95	0.703051703641935		2.27275853844633e-05	0.0813040083330111	0.0776860513938075	0.9369	1.00031659216986		-4.37142651668609e-05	0.0813168774207367	0.0810437424937998	0.9504
1	0.5	0.6	$X_a$	9.71425593741526e-05	0.0459235662248435	0.0449725331976719	0.9441	0.748359495805862		-0.0110657976695978	0.0428868198040588	0.0419877112230931	0.9349	0.85809189471438		-0.00130626713688692	0.0397274548709115	0.0391752514329776	0.9464
1	0.5	0.6	$X_b$	-0.000362872984357054	0.0868090067061463	0.0866324633063549	0.9478	0.868879287482372		2.50348875474593e-05	0.0807820494218094	0.0745023888441827	0.9278	1.00336577841099		0.000111208090563419	0.0809178824608137	0.0800134751163302	0.9482
1	0.5	1	$X_a$	-0.000596055631916725	0.0472859215760228	0.0471943710269545	0.9476	0.707665608211567		-0.0133516268641193	0.0443610331368694	0.0436454668572187	0.9346	0.804060080554246		-0.00192846640112138	0.0397782710335515	0.0394107973210164	0.9453
1	0.5	1	$X_b$	0.000955354904969119	0.0935535127337096	0.0934870003131094	0.9495	0.750789697912951		4.96086226275949e-06	0.0810689373917234	0.0768133718104103	0.9348	0.999837776634896		1.73536280404507e-05	0.0810623614871067	0.0807580874224541	0.9502
