		SY					MLE				
rho	p	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE
-0.5	0.1	0.0829228272830146	0.0445187575766698	0.0420364269043997	0.4992		-0.00167013558319418	0.0323973347736473	0.0324398081724746	0.9511	1.18508427326492
-0.5	0.3	0.170347133668824	0.0574665104137214	0.0504528378866119	0.0887		-0.00720095989594749	0.0351145601750287	0.035072699551287	0.9455	1.20105159329813
-0.5	0.6	0.198286108133673	0.0653315734859067	0.0548969442843251	0.0649		-0.0124741041815281	0.0402765502765919	0.0404952187505786	0.9381	1.0790009054419
-0.5	1	0.169653140085801	0.0713826518221394	0.0577321283433661	0.2018		-0.0137079934078524	0.0462971683584696	0.0464549459915658	0.9386	0.95532185811767
-0.3	0.1	0.062822741802369	0.0426842445759725	0.0403629109780793	0.6601		-0.00137036388421696	0.0323962344700717	0.0323829439677808	0.9522	1.18655491845665
-0.3	0.3	0.136423424368949	0.0553695990658628	0.0491093397123896	0.2155		-0.00577099418209054	0.034706607686768	0.0346820807057824	0.948	1.24685330881744
-0.3	0.6	0.173634561793576	0.064618268149788	0.0552961125355044	0.1416		-0.0103405255888411	0.0394175189505942	0.0396902317150371	0.9429	1.14805694271628
-0.3	1	0.165720265803887	0.0732411805879633	0.0597337976555813	0.2412		-0.011017429901774	0.046086910382324	0.0464371736704311	0.945	0.988764889217402
0	0.1	0.0331201589607653	0.0399149371538984	0.0381242627066331	0.8591		-0.000664506808852439	0.0323117904615686	0.032307573600325	0.9489	1.19062722219213
0	0.3	0.0769632366658241	0.0517744038425903	0.0466599174523541	0.6158		-0.00328996760726358	0.0342152888243285	0.0341768237740065	0.949	1.28919895145682
0	0.6	0.107394720282089	0.0623177439583808	0.0544712355315691	0.5033		-0.00620879327118345	0.0379526293597642	0.0384090349947639	0.9488	1.273584066188
0	1	0.111776793654901	0.07260730741886	0.0606511703521574	0.5418		-0.00729590875242175	0.0458108105265202	0.0457919987509511	0.95	1.0207285581095
0.3	0.1	0.00619870629335934	0.0380375832133085	0.0365305281937151	0.9389		0.000194132806060898	0.0321869683100014	0.0322395933021738	0.9524	1.17402855715685
0.3	0.3	0.0166591527430526	0.0478784941166684	0.0442092206869481	0.9129		-0.000424177253452951	0.0336626131585267	0.0338301905754448	0.9522	1.32347727678529
0.3	0.6	0.0251741207410799	0.0591202705707883	0.0521137189713868	0.8873		-0.00159536947438316	0.0371595519152674	0.0373351654448589	0.9498	1.30503524330988
0.3	1	0.0265998851546707	0.0696929487625431	0.058623504924444	0.8794		-0.00277992666948296	0.0439924057945861	0.044280071362028	0.9513	1.08796324046722
0.5	0.1	-0.00899275386365089	0.0372237584087265	0.0358384690802806	0.933		0.000892233423091859	0.0321400527883631	0.0321981505380059	0.952	1.15902125017135
0.5	0.3	-0.0183202528776341	0.0460411283394259	0.0425678464654074	0.9078		0.00171030279104223	0.033476813677137	0.0336688635690296	0.9517	1.30523040636674
0.5	0.6	-0.0251791294515136	0.0559737289752267	0.0496119649711381	0.8883		0.00203406311262233	0.0365281297601455	0.0367657528703453	0.9518	1.31129520585684
0.5	1	-0.0280673024047258	0.0656476944143352	0.0554588716416774	0.8754		0.00141980018066851	0.0424026339984106	0.0426899115104337	0.953	1.13991854699201
