		MBE					UAEE					SMLE				
$r$	$p$	Bias	SE	SEE	CP		Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE
-0.5	0.1	0.0829228272830146	0.0445187575766698	0.0420364269043997	0.4992		0.1018741578529	0.0446511719648242	0.0553912680902769	0.5682		-0.00167013558319418	0.0323973347736473	0.0324398081724746	0.9511	1.08861576015825
-0.5	0.3	0.170347133668824	0.0574665104137214	0.0504528378866119	0.0887		0.204906987502906	0.0504879343385927	0.0554135462554671	0.0256		-0.00720095989594749	0.0351145601750287	0.035072699551287	0.9455	1.09592499437605
-0.5	0.6	0.198286108133673	0.0653315734859067	0.0548969442843251	0.0649		0.24199984940288	0.0501856378530159	0.051853102589444	0.0025		-0.0124741041815281	0.0402765502765919	0.0404952187505786	0.9381	1.0387496837265
-0.5	1	0.169653140085801	0.0713826518221394	0.0577321283433661	0.2018		0.222012667367466	0.0493745396641443	0.0494548049574617	0.0065		-0.0137079934078524	0.0462971683584696	0.0464549459915658	0.9386	0.977405677350848
-0.3	0.1	0.062822741802369	0.0426842445759725	0.0403629109780793	0.6601		0.0801231224297891	0.0438618501202585	0.054833335601987	0.7457		-0.00137036388421696	0.0323962344700717	0.0323829439677808	0.9522	1.08929101642153
-0.3	0.3	0.136423424368949	0.0553695990658628	0.0491093397123896	0.2155		0.16558886710119	0.0506100421501127	0.0565033663116107	0.1378		-0.00577099418209054	0.034706607686768	0.0346820807057824	0.948	1.11662585892386
-0.3	0.6	0.173634561793576	0.064618268149788	0.0552961125355044	0.1416		0.199728796437711	0.0511571505341064	0.054073102740355	0.0334		-0.0103405255888411	0.0394175189505942	0.0396902317150371	0.9429	1.071474191344
-0.3	1	0.165720265803887	0.0732411805879633	0.0597337976555813	0.2412		0.179647204727361	0.0508267327726391	0.0515566345849482	0.0618		-0.011017429901774	0.046086910382324	0.0464371736704311	0.945	0.99436657688068
0	0.1	0.0331201589607653	0.0399149371538984	0.0381242627066331	0.8591		0.0467439868461845	0.0426472367349975	0.0538909968423438	0.923		-0.000664506808852439	0.0323117904615686	0.032307573600325	0.9489	1.09115866041201
0	0.3	0.0769632366658241	0.0517744038425903	0.0466599174523541	0.6158		0.0990601094106494	0.050552035605152	0.057484930613346	0.6144		-0.00328996760726358	0.0342152888243285	0.0341768237740065	0.949	1.1354289724403
0	0.6	0.107394720282089	0.0623177439583808	0.0544712355315691	0.5033		0.123649522557721	0.0526083992632362	0.056846305780821	0.4084		-0.00620879327118345	0.0379526293597642	0.0384090349947639	0.9488	1.12853181886378
0	1	0.111776793654901	0.07260730741886	0.0606511703521574	0.5418		0.110885707727721	0.0529135748197739	0.0542613382907295	0.4655		-0.00729590875242175	0.0458108105265202	0.0457919987509511	0.95	1.01031111946247
0.3	0.1	0.00619870629335934	0.0380375832133085	0.0365305281937151	0.9389		0.0122792459307061	0.0414702102547821	0.0529692568255021	0.9862		0.000194132806060898	0.0321869683100014	0.0322395933021738	0.9524	1.08352598360946
0.3	0.3	0.0166591527430526	0.0478784941166684	0.0442092206869481	0.9129		0.0257638319109569	0.0498644238101626	0.0575707325753847	0.9562		-0.000424177253452951	0.0336626131585267	0.0338301905754448	0.9522	1.15042482448237
0.3	0.6	0.0251741207410799	0.0591202705707883	0.0521137189713868	0.8873		0.0332450583094359	0.0535588660581694	0.058312446282883	0.9305		-0.00159536947438316	0.0371595519152674	0.0373351654448589	0.9498	1.14238139135311
0.3	1	0.0265998851546707	0.0696929487625431	0.058623504924444	0.8794		0.0303182705365185	0.0536106294097978	0.0561544775954195	0.9262		-0.00277992666948296	0.0439924057945861	0.044280071362028	0.9513	1.04305476388693
0.5	0.1	-0.00899275386365089	0.0372237584087265	0.0358384690802806	0.933		-0.0106992218395321	0.0407809633669026	0.0524263059457441	0.9859		0.000892233423091859	0.0321400527883631	0.0321981505380059	0.952	1.07657849234106
0.5	0.3	-0.0183202528776341	0.0460411283394259	0.0425678464654074	0.9078		-0.0251182704798601	0.0489638381906935	0.0570200452570581	0.9583		0.00171030279104223	0.033476813677137	0.0336688635690296	0.9517	1.1424668075558
0.5	0.6	-0.0251791294515136	0.0559737289752267	0.0496119649711381	0.8883		-0.0337989059169306	0.0531100066257363	0.0582224649170704	0.9278		0.00203406311262233	0.0365281297601455	0.0367657528703453	0.9518	1.14511798774486
0.5	1	-0.0280673024047258	0.0656476944143352	0.0554588716416774	0.8754		-0.0341833265912326	0.0540431588029384	0.0566639656611431	0.9186		0.00141980018066851	0.0424026339984106	0.0426899115104337	0.953	1.06766968065596
