			MBE					CC						SMLE			
rho	$\mu_U$	$\mu_W$	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP
-0.5	0	0	0.00353414546136499	0.0721480254692477	0.0717259240942822	0.9508		0.000648303591529009	0.0462322499926232	0.0461433590488269	0.9485	0.958006627993419		-0.00809298674809195	0.0452511151988362	0.0439640382742609	0.9425
-0.5	0	0.5	0.00256681807624004	0.0766062533797637	0.0756196982042095	0.9494		0.000648303591529009	0.0462322499926232	0.0461433590488269	0.9485	0.958006627993411		-0.00809298674809245	0.0452511151988361	0.0439640382740398	0.9425
-0.5	0.5	0	0.00399447357145177	0.0763821456149812	0.0760483990652493	0.952		0.000648303591529009	0.0462322499926232	0.0461433590488269	0.9485	0.958006627993419		-0.00809298674809195	0.0452511151988362	0.043964038273994	0.9425
-0.5	0.5	0.5	-0.249768917852663	0.0741927694138257	0.0740770855981091	0.0875		0.000648303591529009	0.0462322499926232	0.0461433590488269	0.9485	0.958006627993408		-0.00809298674809228	0.045251115198836	0.0439640382738853	0.9425
0	0	0	0.000476815379577722	0.0697471834295449	0.0691712674252132	0.9476		0.000631884451453624	0.0461988434061429	0.0460125728011626	0.9466	1.00365397992685		-0.00348227536231316	0.0462831712665316	0.0447948075193262	0.9398
0	0	0.5	-3.01838954603895e-05	0.0740515257939358	0.0742956947839021	0.9507		0.000631884451453624	0.0461988434061429	0.0460125728011626	0.9466	1.00365397992686		-0.00348227536231349	0.0462831712665317	0.0447948075194298	0.9398
0	0.5	0	0.00130107266404828	0.0741499293195249	0.0736443576105117	0.9459		0.000631884451453624	0.0461988434061429	0.0460125728011626	0.9466	1.00365397992685		-0.00348227536231316	0.0462831712665316	0.0447948075195363	0.9398
0	0.5	0.5	-0.25200199064998	0.0783373745335208	0.0752881700276892	0.087		0.000631884451453624	0.0461988434061429	0.0460125728011626	0.9466	1.00365397992687		-0.0034822753623131	0.0462831712665319	0.0447948075195235	0.9398
0.5	0	0	-0.002258376397691	0.0635592878897956	0.0626863904907901	0.9456		0.000537111865445639	0.0455814595970658	0.0453018580639499	0.948	0.986468074492135		0.00109958402855426	0.0452720067000548	0.0440353223177078	0.9431
0.5	0	0.5	-0.00179804828760421	0.0684748407906536	0.0673779426871895	0.9473		0.000537111865445639	0.0455814595970658	0.0453018580639499	0.948	0.986468074492126		0.00109958402855403	0.0452720067000546	0.0440353223177529	0.9431
0.5	0.5	0	-0.0012910490125661	0.0686869818248461	0.0675850365224581	0.9461		0.000537111865445639	0.0455814595970658	0.0453018580639499	0.948	0.98646807449214		0.00109958402855437	0.0452720067000549	0.0440353223175496	0.9431
0.5	0.5	0.5	-0.25362678494147	0.0800484614158008	0.0711661515314224	0.0615		0.000537111865445639	0.0455814595970658	0.0453018580639499	0.948	0.986468074492121		0.00109958402855442	0.0452720067000545	0.0440353223177	0.9431
