		SY					MLE			
rho	p	Bias	SE	SEE	CP		Bias	SE	SEE	CP
-0.5	0.1	0.587124710119784	0.0855978707186963	0.0853181130650632	0		0.0019085648454823	0.0340747939046627	0.0335571858682421	0.9457
-0.5	0.3	0.561877303493483	0.0970877578765435	0.0960830862801107	1e-04		0.00150692726885265	0.0369369714114709	0.0363069765605958	0.9456
-0.5	0.6	0.524335174910687	0.108920208370828	0.108472640300371	0.0022		0.00133776493813076	0.0397372916351798	0.0393833093676998	0.9481
-0.5	1	0.481809038564907	0.121941661356212	0.121368143993765	0.0179		0.000882879930500458	0.0433238258136936	0.0419096166640173	0.9431
-0.3	0.1	0.587130843850494	0.0855307356243754	0.0852249228727109	0		0.00181320891973563	0.0340832707168663	0.0335990255401349	0.947
-0.3	0.3	0.561901212335573	0.0968987533799085	0.095855352011517	2e-04		0.00141115450254753	0.0371504362523124	0.0364471670817537	0.9454
-0.3	0.6	0.524224310893028	0.108611743190553	0.108091393436291	0.002		0.0013294625318136	0.0399902148073026	0.0396164147297783	0.9482
-0.3	1	0.481834766535442	0.121330209502092	0.120843893655526	0.0184		0.000729073160551152	0.0437610672957068	0.0423328851433731	0.9422
0	0.1	0.587302122419689	0.0857382745621836	0.0851543179147573	0		0.00141953713690623	0.0339705202129526	0.0336776315570659	0.9454
0	0.3	0.562027954367522	0.0969460537288825	0.0956521155371083	1e-04		0.00129451714534873	0.0372018674814804	0.0365594832443809	0.9451
0	0.6	0.525585546393914	0.108258405069578	0.10790872116491	0.0019		0.00138314766926151	0.0402310576740734	0.0397360522087554	0.9466
0	1	0.482203584623666	0.119508024600628	0.120589885482762	0.0178		0.000713646433486481	0.0437168088924542	0.0425172239037104	0.9405
0.3	0.1	0.587289520051368	0.0855826250619941	0.0852169350299326	0		0.00143151649554135	0.0337899785282805	0.0335824807402105	0.9466
0.3	0.3	0.561603662142999	0.0959306821423911	0.0957778688001678	1e-04		0.00164957843659808	0.0368198934669255	0.0364610234267245	0.9474
0.3	0.6	0.526729089482454	0.108032091120696	0.108221613611588	0.001		0.00121075443815793	0.0402526098813991	0.0396073956484817	0.9438
0.3	1	0.482662567876243	0.120770687961158	0.120823332805117	0.0202		0.000665019571288838	0.0436396315352544	0.0422841343379494	0.9396
0.5	0.1	0.587210334825684	0.0857064696271412	0.0853099494893846	0		0.00143460669088824	0.0337569391512999	0.0335458363233072	0.9478
0.5	0.3	0.561421270341226	0.0961203053114201	0.0960082785226998	1e-04		0.00182747005419487	0.0366089970022406	0.0363680568809969	0.9477
0.5	0.6	0.526699702800333	0.108453440478706	0.108596939921345	0.0015		0.00131563773456483	0.0398810646079708	0.0393302276540793	0.9434
0.5	1	0.482880441329412	0.121408746367655	0.121340363691069	0.0205		0.000829211499078497	0.0433154808886953	0.0419098974805497	0.9391
