		$X_1$					$X_2$			
$r$	$p$	Bias	SE	SEE	CP		Bias	SE	SEE	CP
0	0.1	-0.00260437115810397	0.035257600330224	0.0344788739538597	0.9446		-0.00195506556550162	0.035735173949181	0.0345004771900931	0.9405
0	0.3	-0.00532789469319744	0.0389119240389703	0.0378317875307031	0.9401		-0.00483923874035397	0.0387640660996444	0.0378147674763912	0.9429
0	0.6	-0.00945665707800647	0.0420351136420366	0.0411958556973332	0.9376		-0.00980841514651748	0.0423498765700329	0.0411845375054098	0.9345
0	1	-0.0118249894456912	0.0446640947511507	0.0436291846816748	0.9347		-0.0117629505653147	0.044169208661399	0.0435766740225862	0.9385
0.3	0.1	-0.0011169120386238	0.0348343435580423	0.0341397364665548	0.942		-0.00110417143673658	0.0351314405360347	0.034153674028455	0.9426
0.3	0.3	-0.0025170843254152	0.0379759132995833	0.0373955019214924	0.9476		-0.00302519039064619	0.0386085413587413	0.0373542567682546	0.9397
0.3	0.6	-0.00472131712465812	0.041073204497905	0.0405873256828167	0.9422		-0.00474056648940435	0.0418769283402916	0.0405486263717903	0.9409
0.3	1	-0.005825260578668	0.0436767959761494	0.0430477196820272	0.9404		-0.00539036504929197	0.0436896687116027	0.0430225801758606	0.944
0.5	0.1	-0.000607881002699651	0.0345582744900769	0.0338680738155699	0.9456		-0.000639186824800242	0.0344968117329021	0.033940536978107	0.9454
0.5	0.3	-0.00144198499174569	0.0375820528709654	0.0368816676861475	0.9453		-0.00142334959286261	0.0374719898312473	0.0367930963444239	0.9477
0.5	0.6	-0.00177577480333685	0.0402366703159764	0.0399768465565036	0.9459		-0.0020313775406377	0.0406663748364256	0.0399323474066518	0.9425
0.5	1	-0.00223509660211774	0.0423543011542712	0.0420966474645454	0.9456		-0.00146509323393185	0.0429428192581918	0.0421629667464399	0.9458
