		SY					MLE				
rho	p	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE
-0.5	0.1	0.00233046834185674	0.0435980481526282	0.0433637411281889	0.9501		-0.00425024020479869	0.0370633733739653	0.0358351187068353	0.9386	1.383707210447
-0.5	0.3	0.00394891678916048	0.0572628964881048	0.0569315415281572	0.9499		-0.00547439933836819	0.0417823937015832	0.041011227565879	0.9388	1.87827851059261
-0.5	0.6	0.00462384250347198	0.0690756480587295	0.0689816044835487	0.9514		-0.00883417307752815	0.0474446220833835	0.045758086482398	0.9387	2.11970758037133
-0.5	1	0.00635969124392438	0.0809953850469344	0.0805204615263382	0.948		-0.0100055468973675	0.0506791338672405	0.0491507115566619	0.9372	2.55424281744174
-0.3	0.1	0.00135040143945497	0.0416351925910338	0.0415041685481327	0.9499		-0.00354267062968072	0.0369800049819816	0.0358884322689706	0.9381	1.26761457819412
-0.3	0.3	0.00263953316145843	0.054421827107164	0.0541665148220552	0.9507		-0.00407625638090564	0.0421061140775523	0.0410788232333802	0.9414	1.67053627673907
-0.3	0.6	0.00315887140627452	0.0666516877959247	0.0665792788191259	0.9515		-0.0065425813392278	0.0480562075795486	0.0462742264694896	0.9399	1.92363784639473
-0.3	1	0.00441448236428826	0.0795490809625026	0.0791454866016794	0.9483		-0.00728147991291378	0.0515502672078087	0.0498411785437456	0.9388	2.3812691829432
0	0.1	-0.000562150451256849	0.0393577771566958	0.0391131839498043	0.95		-0.00227705886739965	0.0370104232777886	0.0358191501226259	0.9379	1.13087087920783
0	0.3	0.000317984217197198	0.0508780066903851	0.0503608911042536	0.9492		-0.00250215388206515	0.0425207269948314	0.0412756308526654	0.9418	1.43172238007221
0	0.6	0.000934076790561233	0.0627755131241788	0.06281949322967	0.9514		-0.00333657209520255	0.04824902937872	0.0466658420941841	0.9429	1.69279115213348
0	1	0.00202942091166103	0.0765225328613002	0.0760974927400617	0.9485		-0.00411085249850096	0.0521844101784672	0.0503536059727439	0.9387	2.15029039388606
0.3	0.1	-0.00223620865139318	0.037596865772358	0.03744036049252	0.9482		-0.000607053154025317	0.0369041720982165	0.0354379937156808	0.9381	1.03789244341249
0.3	0.3	-0.00182481182659572	0.0476146594101823	0.0472077659883561	0.9496		-0.000669975104411802	0.0422546987039544	0.0409587327389006	0.9412	1.26978837173692
0.3	0.6	-0.00138733172249667	0.058715497977648	0.0588347819319904	0.9521		-0.000685074781845041	0.0476604294782781	0.0463300313891328	0.9431	1.51771279011545
0.3	1	-0.000923122576940494	0.0709678376465411	0.0716110453658455	0.9551		-0.00045783653467274	0.051762107612859	0.0499766520669446	0.943	1.87974631781536
0.5	0.1	-0.00319290313544213	0.0368706244750902	0.036741996756495	0.9496		0.00058429927303566	0.0363346751298447	0.0351217008300388	0.9409	1.02971828231747
0.5	0.3	-0.0031347760877507	0.0458675237889838	0.0454865604168763	0.9519		0.000561267834481183	0.0415315849788873	0.0403348073312426	0.9404	1.21970155852143
0.5	0.6	-0.00284792370590153	0.0558584066353976	0.0560318293881993	0.9513		0.00136025536851858	0.0467888977762101	0.0454725267009171	0.9451	1.42525133864876
0.5	1	-0.00280109439108894	0.0670915812472325	0.0677288164186605	0.9544		0.00189817549315024	0.0506750695339136	0.0491996951697194	0.9436	1.75286047685432
