$r$	$p$	Bias	SE	SEE	CP
-0.5	0.1	-0.00153566561191409	0.0385008033649898	0.0381829898071449	0.9422
-0.5	0.3	-0.000966005848762497	0.0428732620989361	0.0425571670931249	0.9476
-0.5	0.6	-0.000406013068553812	0.0452317170102453	0.0447818115419417	0.9456
-0.5	1	0.000648303591529009	0.0462322499926232	0.0461433590488269	0.9485
-0.3	0.1	-0.00118807647851343	0.0378594191239562	0.0376195593011295	0.9439
-0.3	0.3	-0.000814287610495124	0.0424608912541466	0.0421525359910172	0.9467
-0.3	0.6	-0.000355397494049892	0.0450410015146871	0.0446363256604327	0.9472
-0.3	1	0.000637370956845185	0.0462058833872602	0.0461497321952327	0.9489
0	0.1	-0.00056837524542469	0.0368916348905075	0.0368534670478733	0.9487
0	0.3	-0.000286747727439141	0.0418062315721049	0.0414989520128845	0.9465
0	0.6	-0.000107004251591214	0.0448078362051537	0.0443226937844271	0.9439
0	1	0.000631884451453624	0.0461988434061429	0.0460125728011626	0.9466
0.3	0.1	-1.79832652664746e-05	0.0362007435559511	0.0361400007580107	0.9511
0.3	0.3	0.000197981462190244	0.0412396069747902	0.0407689463345315	0.9478
0.3	0.6	0.000134035880904493	0.0444222870955392	0.0438264132508556	0.9448
0.3	1	0.000541587612991945	0.0459705256160259	0.0456897770872981	0.949
0.5	0.1	0.000228325076199132	0.0357817243799823	0.0357591366945432	0.9516
0.5	0.3	0.000380650635985968	0.0406944696218733	0.0402428058027882	0.948
0.5	0.6	0.0002292410340064	0.0439072369717895	0.0433503386500404	0.9439
0.5	1	0.000537111865445639	0.0455814595970658	0.0453018580639499	0.948
