		SY					MLE				
rho	p	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE
-0.5	0.1	0.000882885331379701	0.0407921516428921	0.0404288200308757	0.9501		-0.00453490551169805	0.03483508948128	0.034494861489829	0.9446	1.371258605203
-0.5	0.3	0.00221831704566988	0.0514867560129467	0.05135701576928	0.9521		-0.0121984175454258	0.0378785315759531	0.0376689549635847	0.9374	1.84758654065516
-0.5	0.6	0.00366155299906273	0.0623104056661533	0.0616039424795048	0.9504		-0.0221289920963724	0.0406184731051804	0.0408010292183986	0.9165	2.35328198345703
-0.5	1	0.00353414546136499	0.0721480254692477	0.0717259240942822	0.9508		-0.0296863024513384	0.0436876302198195	0.0429962770761899	0.8875	2.72729379656765
-0.3	0.1	0.000242261185083026	0.0394544143990542	0.0391443901679079	0.949		-0.00369800261012881	0.034889752544958	0.0345207405157994	0.9451	1.27877879197563
-0.3	0.3	0.00135983549980428	0.049599629730998	0.0494837922821543	0.9521		-0.00948996319930812	0.0380483534922794	0.0378183478214048	0.9402	1.69935898938621
-0.3	0.6	0.00249360071248222	0.0607038097384705	0.0601333803283248	0.9504		-0.0167015842546693	0.0410284243062002	0.0411288378747046	0.932	2.18908295576865
-0.3	1	0.00208173055152505	0.0715857788852282	0.0711530471701169	0.9504		-0.022180898090746	0.0442144929378686	0.0436724378722851	0.9135	2.62134517323894
0	0.1	-0.000640490431660479	0.0377692253891878	0.0375577956697227	0.9489		-0.00240408859534796	0.0347611401469407	0.0344079581960537	0.9443	1.18056018038285
0	0.3	0.000237960050140762	0.0472408086686971	0.0469211854569198	0.9493		-0.00540323010708071	0.0380477269534026	0.0378916081840251	0.9463	1.54161956708949
0	0.6	0.000288046333081993	0.0579031510735344	0.0575798973640458	0.9482		-0.00945132923905551	0.0416033282870149	0.0413508196433772	0.943	1.93708307043566
0	1	0.000476815379577722	0.0697471834295449	0.0691712674252132	0.9476		-0.0125508797057083	0.0446441195596045	0.043804900840821	0.9367	2.44075857451349
0.3	0.1	-0.00169240879909177	0.0367317743147533	0.0363387566526612	0.9462		-0.000804934523951251	0.0344279190233314	0.034259198182506	0.9459	1.13831450255202
0.3	0.3	-0.0014232038076038	0.0449800075243892	0.0445913282853291	0.9496		-0.00120745661613059	0.0378189215653927	0.0376501370623632	0.9474	1.4145580240917
0.3	0.6	-0.0011386584801712	0.0539917550935441	0.0546266435139102	0.9523		-0.00222684206561491	0.0411122311092866	0.0410512258226331	0.9495	1.72469696165611
0.3	1	-0.00078126190413258	0.0665845340226328	0.065840775497003	0.9459		-0.00310537020758106	0.0441872355037496	0.0435430886652262	0.9462	2.27066500345892
0.5	0.1	-0.00236420991100117	0.0362117590574258	0.0357904645983492	0.9465		0.000698919816359278	0.034158589799328	0.0339444539297212	0.9459	1.12382678323622
0.5	0.3	-0.00231224186879647	0.0436115731161383	0.0432269601842266	0.9495		0.0019338444242839	0.0373486098713441	0.0372015506105443	0.9464	1.36349836383214
0.5	0.6	-0.00228312044176499	0.0518675902495595	0.0523760771137528	0.9518		0.00314224967011562	0.040491201763341	0.0404556597104191	0.9501	1.64085728394236
0.5	1	-0.002258376397691	0.0635592878897956	0.0626863904907901	0.9456		0.00374543662500487	0.0434613867265917	0.0428827147944972	0.9454	2.13870501106988
